Local time,Open,High,Low,Close,Volume
22.01.2024 08:33:25.000 GMT-0600,193.306,193.307,193.296,193.307,0.072
22.01.2024 08:33:26.000 GMT-0600,193.257,193.257,193.226,193.227,0.12
22.01.2024 08:33:27.000 GMT-0600,193.237,193.277,193.237,193.256,0.08399999999999999
22.01.2024 08:33:28.000 GMT-0600,193.257,193.327,193.246,193.327,0.12
22.01.2024 08:33:29.000 GMT-0600,193.356,193.356,193.326,193.327,0.072
22.01.2024 08:33:30.000 GMT-0600,193.337,193.386,193.337,193.386,0.06
22.01.2024 08:33:31.000 GMT-0600,193.386,193.407,193.386,193.407,0.08399999999999999
22.01.2024 08:33:32.000 GMT-0600,193.386,193.387,193.386,193.387,0.024
22.01.2024 08:33:33.000 GMT-0600,193.397,193.406,193.356,193.356,0.06
22.01.2024 08:33:34.000 GMT-0600,193.347,193.357,193.346,193.347,0.08399999999999999
22.01.2024 08:33:35.000 GMT-0600,193.316,193.327,193.276,193.276,0.072
22.01.2024 08:33:36.000 GMT-0600,193.286,193.296,193.286,193.286,0.048
22.01.2024 08:33:37.000 GMT-0600,193.296,193.297,193.286,193.286,0.036
22.01.2024 08:33:38.000 GMT-0600,193.276,193.286,193.256,193.267,0.08399999999999999
22.01.2024 08:33:39.000 GMT-0600,193.256,193.256,193.236,193.247,0.08399999999999999
22.01.2024 08:33:40.000 GMT-0600,193.237,193.247,193.236,193.246,0.12
22.01.2024 08:33:41.000 GMT-0600,193.266,193.356,193.266,193.356,0.08399999999999999
22.01.2024 08:33:42.000 GMT-0600,193.366,193.366,193.337,193.347,0.08399999999999999
22.01.2024 08:33:43.000 GMT-0600,193.347,193.356,193.327,193.327,0.108
22.01.2024 08:33:44.000 GMT-0600,193.327,193.356,193.327,193.356,0.06
22.01.2024 08:33:45.000 GMT-0600,193.347,193.386,193.346,193.386,0.108
22.01.2024 08:33:46.000 GMT-0600,193.406,193.407,193.386,193.407,0.08399999999999999
22.01.2024 08:33:47.000 GMT-0600,193.406,193.406,193.367,193.377,0.048
22.01.2024 08:33:48.000 GMT-0600,193.386,193.386,193.306,193.326,0.072
22.01.2024 08:33:49.000 GMT-0600,193.326,193.336,193.326,193.336,0.036
22.01.2024 08:33:50.000 GMT-0600,193.346,193.346,193.336,193.336,0.024
22.01.2024 08:33:51.000 GMT-0600,193.347,193.356,193.327,193.346,0.072
22.01.2024 08:33:52.000 GMT-0600,193.336,193.357,193.336,193.357,0.024
22.01.2024 08:33:53.000 GMT-0600,193.357,193.357,193.327,193.327,0.06
22.01.2024 08:33:54.000 GMT-0600,193.326,193.366,193.326,193.366,0.06
22.01.2024 08:33:55.000 GMT-0600,193.377,193.416,193.377,193.407,0.048
22.01.2024 08:33:56.000 GMT-0600,193.417,193.427,193.406,193.427,0.06
22.01.2024 08:33:57.000 GMT-0600,193.416,193.427,193.406,193.427,0.072
22.01.2024 08:33:58.000 GMT-0600,193.416,193.426,193.416,193.426,0.024
22.01.2024 08:33:59.000 GMT-0600,193.457,193.457,193.447,193.447,0.072
22.01.2024 08:34:00.000 GMT-0600,193.446,193.456,193.426,193.426,0.06
22.01.2024 08:34:01.000 GMT-0600,193.426,193.437,193.426,193.437,0.06
22.01.2024 08:34:02.000 GMT-0600,193.446,193.446,193.406,193.407,0.08399999999999999
22.01.2024 08:34:03.000 GMT-0600,193.417,193.437,193.417,193.427,0.096
22.01.2024 08:34:04.000 GMT-0600,193.417,193.427,193.396,193.396,0.08399999999999999
22.01.2024 08:34:05.000 GMT-0600,193.407,193.416,193.396,193.396,0.06
22.01.2024 08:34:06.000 GMT-0600,193.397,193.397,193.347,193.356,0.048
22.01.2024 08:34:07.000 GMT-0600,193.347,193.367,193.347,193.367,0.048
22.01.2024 08:34:08.000 GMT-0600,193.356,193.357,193.347,193.356,0.06
22.01.2024 08:34:09.000 GMT-0600,193.367,193.406,193.366,193.377,0.096
22.01.2024 08:34:10.000 GMT-0600,193.387,193.416,193.376,193.386,0.108
22.01.2024 08:34:11.000 GMT-0600,193.367,193.387,193.366,193.387,0.108
22.01.2024 08:34:12.000 GMT-0600,193.386,193.427,193.386,193.416,0.072
22.01.2024 08:34:13.000 GMT-0600,193.426,193.426,193.416,193.416,0.024
22.01.2024 08:34:14.000 GMT-0600,193.436,193.477,193.436,193.477,0.06
22.01.2024 08:34:15.000 GMT-0600,193.466,193.497,193.436,193.447,0.096
22.01.2024 08:34:16.000 GMT-0600,193.437,193.447,193.436,193.447,0.08399999999999999
22.01.2024 08:34:17.000 GMT-0600,193.466,193.486,193.466,193.486,0.048
22.01.2024 08:34:18.000 GMT-0600,193.496,193.527,193.496,193.527,0.06
22.01.2024 08:34:19.000 GMT-0600,193.526,193.547,193.526,193.537,0.048
22.01.2024 08:34:20.000 GMT-0600,193.537,193.537,193.506,193.506,0.036
22.01.2024 08:34:21.000 GMT-0600,193.506,193.506,193.477,193.477,0.072
22.01.2024 08:34:22.000 GMT-0600,193.486,193.486,193.476,193.476,0.06
22.01.2024 08:34:23.000 GMT-0600,193.486,193.487,193.477,193.477,0.072
22.01.2024 08:34:24.000 GMT-0600,193.466,193.536,193.466,193.517,0.072
